FirstName,LastName,Reading Comprehension,Word Meaning,Logical Reasoning,Categorial Reasoning
Andrew,Terry,61,356,67,77
Matt,Johnston,69,352,80,92
Dorothy,Simpson,92,361,93,85
Neil,Ellison,77,346,60,92
Anthony,Sharp,100,356,87,92
Liam,Mackenzie,69,346,93,92
Heather,Bailey,77,372,93,92
Frank,Mackay,85,349,87,92
Natalie,Watson,92,366,93,77
Ian,Rutherford,69,352,80,85
Tim,Bower,100,366,93,100
Sean,Churchill,92,381,93,100
Irene,Anderson,77,366,80,92
Harry,Wilkins,85,346,87,100
Katherine,Clarkson,85,352,73,92
Alison,Edmunds,54,343,93,92
Sarah,Baker,77,327,53,69
Blake,Wright,92,356,73,85
Abigail,Baker,85,356,100,92
Karen,Sharp,92,381,80,92
James,Rees,77,329,80,92
Jessica,Peters,69,346,93,92
Sonia,Nolan,92,361,80,77
Brian,Greene,100,372,87,100
Mary,Gibson,77,356,87,100
Audrey,Peters,92,361,100,85
Megan,Ross,69,332,93,85
Hannah,Slater,100,361,100,92
Sean,Young,69,356,73,69
Carolyn,King,77,343,87,85
Bernadette,Hart,100,372,80,92
Donna,Berry,85,352,87,69
Anna,Scott,85,366,100,85
Audrey,McLean,69,343,93,62
Chloe,Hughes,77,337,93,92
Emily,Buckland,100,395,80,100
Penelope,Mackay,85,352,93,85
Tim,May,100,361,73,100
